"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa834e4b0c9d6adf6e5d7",4,0,0,1
"13767.58cfa833e4b0c9d6adf6d94a",299,3,0,18
"13767.58cfa833e4b0c9d6adf6d9ad",2,1,0,0
"13767.58cfa837e4b0c9d6adf702c9",55,1,0,2
"13767.58cfa833e4b0c9d6adf6da04",3,0,0,0
"13767.58cfa835e4b0c9d6adf6eee2",1,1,0,0
"13767.58cfa837e4b0c9d6adf703f9",124,18,0,5
"13767.58cfa834e4b0c9d6adf6e57c",5,0,0,0
"13767.58cfa834e4b0c9d6adf6e493",86,1,0,4
"13767.58cfa833e4b0c9d6adf6da15",13,0,0,1
"13767.58cfa834e4b0c9d6adf6e568",213,0,0,7
"13767.58cfa838e4b0c9d6adf705c4",21,0,0,2
"13767.58cfa834e4b0c9d6adf6e699",56,0,0,4
"13767.58cfa837e4b0c9d6adf70316",9,0,0,0
"13767.58cfa834e4b0c9d6adf6e5b2",14,0,0,0
"13767.58cfa834e4b0c9d6adf6e400",95,1,0,3
"13767.58cfa834e4b0c9d6adf6e87e",14,0,0,1
"13767.58cfa833e4b0c9d6adf6d93b",5,0,0,0
"13767.58cfa834e4b0c9d6adf6e79a",18,0,0,1
"13767.58cfa834e4b0c9d6adf6e5ea",110,3,0,5
"13767.58cfa833e4b0c9d6adf6d9f5",6,0,0,0
"13767.58cfa834e4b0c9d6adf6e5bc",140,1,0,5
"13767.58cfa834e4b0c9d6adf6e5c0",27,0,0,1
"13767.58cfa83be4b0c9d6adf7268b",2,0,0,0
"13767.58cfa834e4b0c9d6adf6e588",27,1,0,1
"13767.58cfa835e4b0c9d6adf6f1c6",22,2,0,2
"13767.58cfa833e4b0c9d6adf6d8dc",60,0,0,1
"13767.58cfa835e4b0c9d6adf6f170",4,0,0,0
"13767.58cfa834e4b0c9d6adf6e802",7,0,0,1
"13767.58cfa834e4b0c9d6adf6e569",47,0,0,1
"13767.58cfa833e4b0c9d6adf6db01",7,0,0,0
"13767.58cfa83be4b0c9d6adf725c2",2,2,0,0
"13767.58cfa834e4b0c9d6adf6e48b",3,1,0,0
"13767.58cfa833e4b0c9d6adf6dbb6",174,1,0,11
"13767.58cfa833e4b0c9d6adf6dec8",0,1,0,0
"13767.58cfa833e4b0c9d6adf6d9f4",39,1,0,1
"13767.58cfa833e4b0c9d6adf6d9b3",27,0,0,2
"13767.58cfa833e4b0c9d6adf6db66",36,0,0,1
"13767.58cfa834e4b0c9d6adf6e800",3,0,0,0
"13767.58cfa834e4b0c9d6adf6e8ce",49,1,0,2
"13767.58cfa835e4b0c9d6adf6f17c",3,0,0,0
"13767.58cfa834e4b0c9d6adf6e5cd",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dade",54,0,0,3
"13767.58cfa837e4b0c9d6adf70406",169,0,0,8
"13767.58cfa834e4b0c9d6adf6e6ac",18,1,0,1
"13767.58cfa834e4b0c9d6adf6e589",3,1,0,0
"13767.58cfa833e4b0c9d6adf6d865",49,2,0,2
"13767.58cfa834e4b0c9d6adf6e7cd",0,3,0,0
"13767.58cfa834e4b0c9d6adf6e48f",135,1,0,6
"13767.58cfa833e4b0c9d6adf6dc46",136,3,0,4
"13767.58cfa833e4b0c9d6adf6d954",54,1,0,2
"13767.58cfa833e4b0c9d6adf6db44",8,0,0,0
"13767.58cfa833e4b0c9d6adf6d95d",22,1,0,1
"13767.58cfa834e4b0c9d6adf6e850",87,2,0,3
"13767.58cfa833e4b0c9d6adf6dba3",2,0,0,0
"13767.58cfa834e4b0c9d6adf6e47f",8,1,0,0
"13767.58cfa833e4b0c9d6adf6da0c",87,0,0,3
"13767.58cfa834e4b0c9d6adf6e558",2,0,0,0
"13767.58cfa834e4b0c9d6adf6e483",10,0,0,1
"13767.58cfa833e4b0c9d6adf6dda0",239,3,0,11
"13767.58cfa838e4b0c9d6adf70ffa",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dd28",6,1,0,0
"13767.58cfa834e4b0c9d6adf6e7b7",4,0,0,0
"13767.58cfa834e4b0c9d6adf6e874",32,0,0,2
"13767.58cfa834e4b0c9d6adf6e531",2,1,0,0
"13767.58cfa834e4b0c9d6adf6e894",2,0,0,0
"13767.58cfa834e4b0c9d6adf6e7d3",1,1,0,0
"13767.58cfa833e4b0c9d6adf6d9b1",3,2,0,0
"13767.58cfa833e4b0c9d6adf6db0d",23,0,0,1
"13767.58cfa834e4b0c9d6adf6e864",34,5,0,2
"13767.58cfa833e4b0c9d6adf6d8de",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e550",8,0,0,0
"13767.58cfa834e4b0c9d6adf6e56c",14,0,0,1
"13767.58cfa835e4b0c9d6adf6f1c5",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e5a1",33,2,0,1
"13767.58cfa833e4b0c9d6adf6dd9b",97,1,0,6
"13767.58cfa833e4b0c9d6adf6dd1c",0,1,0,0
"13767.58cfa833e4b0c9d6adf6dafa",4,0,0,0
"13767.58cfa833e4b0c9d6adf6dd4e",190,1,0,5
"13767.58cfa834e4b0c9d6adf6e7c0",26,1,0,1
"13767.58cfa833e4b0c9d6adf6d919",38,1,0,1
"13767.58cfa834e4b0c9d6adf6e548",180,2,0,6
"13767.58cfa834e4b0c9d6adf6e53f",26,1,0,1
"13767.58cfa837e4b0c9d6adf70102",8,0,0,0
"13767.58cfa833e4b0c9d6adf6dd7e",28,1,0,6
"13767.58cfa834e4b0c9d6adf6e960",7,0,0,1
"13767.58cfa837e4b0c9d6adf70291",12,0,0,1
"13767.58cfa833e4b0c9d6adf6db81",41,1,0,1
"13767.58cfa834e4b0c9d6adf6e6d0",34,1,0,3
"13767.58cfa838e4b0c9d6adf704d3",220,2,0,10
"13767.58cfa834e4b0c9d6adf6e4b0",65,6,0,3
"13767.58cfa834e4b0c9d6adf6e561",65,2,0,3
"13767.58cfa834e4b0c9d6adf6e8bd",5,0,0,0
"13767.58cfa833e4b0c9d6adf6db6c",7,0,0,0
"13767.58cfa833e4b0c9d6adf6db38",83,2,0,4
"13767.58cfa834e4b0c9d6adf6e69e",1,0,0,0
"13767.58cfa835e4b0c9d6adf6f17e",4,1,0,0
"13767.58cfa837e4b0c9d6adf700fa",21,0,0,1
"13767.58cfa833e4b0c9d6adf6db4c",3,0,0,0
"13767.58cfa837e4b0c9d6adf703b0",6,1,0,0
"13767.58cfa837e4b0c9d6adf70249",35,2,0,2
"13767.58cfa837e4b0c9d6adf7006a",24,1,0,2
"13767.58cfa833e4b0c9d6adf6dbbb",13,0,0,1
"13767.58cfa835e4b0c9d6adf6f192",6,0,0,0
"13767.58cfa833e4b0c9d6adf6db24",12,0,0,0
"13767.58cfa834e4b0c9d6adf6e87c",9,1,0,0
"13767.58cfa833e4b0c9d6adf6dbc3",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dd63",0,1,0,0
"13767.58cfa833e4b0c9d6adf6dd5b",21,0,0,1
"13767.58cfa834e4b0c9d6adf6e7b4",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dae8",0,1,0,0
"13767.58cfa833e4b0c9d6adf6db0c",12,1,0,1
"13767.58cfa833e4b0c9d6adf6dc22",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dbd6",149,2,0,5
"13767.58cfa835e4b0c9d6adf6f26c",10,0,0,0
"13767.58cfa833e4b0c9d6adf6dae2",137,0,0,4
"13767.58cfa833e4b0c9d6adf6d9e2",44,3,0,1
"13767.58cfa838e4b0c9d6adf7041f",30,1,0,2
"13767.58cfa837e4b0c9d6adf700ad",45,0,0,3
"13767.58cfa833e4b0c9d6adf6db21",24,0,0,1
"13767.58cfa833e4b0c9d6adf6daa5",12,1,0,1
"13767.58cfa838e4b0c9d6adf70616",34,0,0,1
"13767.58cfa833e4b0c9d6adf6dc12",23,0,0,1
"13767.58cfa838e4b0c9d6adf70533",22,1,0,1
"13767.58cfa833e4b0c9d6adf6d8e0",9,1,0,0
"13767.58cfa833e4b0c9d6adf6dc47",29,0,0,1
"13767.58cfa837e4b0c9d6adf70232",9,2,0,1
"13767.58cfa834e4b0c9d6adf6e42d",28,2,0,3
"13767.58cfa833e4b0c9d6adf6dba5",25,1,0,1
"13767.58cfa833e4b0c9d6adf6dab9",3,0,0,1
"13767.58cfa833e4b0c9d6adf6dc1b",73,1,0,3
"13767.58cfa833e4b0c9d6adf6db5d",1,1,0,0
"13767.58cfa833e4b0c9d6adf6db31",15,0,0,1
"13767.58cfa834e4b0c9d6adf6e6e0",94,2,0,3
"13767.58cfa833e4b0c9d6adf6db14",233,2,0,9
"13767.58cfa838e4b0c9d6adf7051e",11,0,0,0
"13767.58cfa838e4b0c9d6adf70682",52,0,0,1
"13767.58cfa835e4b0c9d6adf6f149",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dc28",2,0,0,0
"13767.58cfa833e4b0c9d6adf6db29",93,3,0,4
"13767.58cfa833e4b0c9d6adf6da08",10,1,0,1
"13767.58cfa837e4b0c9d6adf700af",25,0,0,0
"13767.58cfa838e4b0c9d6adf70632",40,1,0,2
"13767.58cfa833e4b0c9d6adf6db3e",70,1,0,3
"13767.58cfa833e4b0c9d6adf6db48",31,1,0,2
"13767.58cfa833e4b0c9d6adf6d982",48,1,0,2
"13767.58cfa834e4b0c9d6adf6e7f4",1,0,0,0
"13767.58cfa838e4b0c9d6adf70430",36,0,0,2
"13767.58cfa833e4b0c9d6adf6daf6",2,2,0,0
"13767.58cfa833e4b0c9d6adf6dc0a",5,3,0,0
"13767.58cfa833e4b0c9d6adf6db9d",4,0,0,0
"13767.58cfa833e4b0c9d6adf6dc16",68,1,0,3
"13767.58cfa834e4b0c9d6adf6e56d",3,1,0,0
"13767.58cfa833e4b0c9d6adf6dd24",105,3,0,3
"13767.58cfa837e4b0c9d6adf70050",81,1,0,2
"13767.58cfa833e4b0c9d6adf6d985",5,1,0,0
"13767.58cfa833e4b0c9d6adf6db06",99,2,0,4
"13767.58cfa833e4b0c9d6adf6dbf6",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dbc1",29,0,0,1
"13767.58cfa833e4b0c9d6adf6db11",166,2,0,8
"13767.58cfa838e4b0c9d6adf705b0",35,0,0,1
"13767.58cfa833e4b0c9d6adf6d9df",0,1,0,0
"13767.58cfa837e4b0c9d6adf703c5",15,0,0,1
"13767.58cfa837e4b0c9d6adf70060",30,0,0,2
"13767.58cfa833e4b0c9d6adf6d89a",11,2,0,1
"13767.58cfa833e4b0c9d6adf6dad6",1,2,0,0
"13767.58cfa833e4b0c9d6adf6d90f",6,1,0,0
"13767.58cfa837e4b0c9d6adf700b1",55,2,0,1
"13767.58cfa833e4b0c9d6adf6db3a",16,1,0,1
"13767.58cfa834e4b0c9d6adf6e879",5,1,0,0
"13767.58cfa834e4b0c9d6adf6e8f6",9,0,0,1
"13767.58cfa833e4b0c9d6adf6dbf5",15,0,0,1
"13767.58cfa838e4b0c9d6adf704c1",152,2,0,5
"13767.58cfa833e4b0c9d6adf6dd9a",4,0,0,0
"13767.58cfa838e4b0c9d6adf705aa",22,0,0,1
"13767.58cfa833e4b0c9d6adf6db91",20,2,0,1
"13767.58cfa83be4b0c9d6adf72584",3,1,0,0
"13767.58cfa833e4b0c9d6adf6dbf2",4,2,0,0
"13767.58cfa83be4b0c9d6adf72527",1,3,0,0
"13767.58cfa833e4b0c9d6adf6dc18",17,0,0,0
"13767.58cfa833e4b0c9d6adf6dbf7",4,1,0,0
"13767.58cfa833e4b0c9d6adf6dadc",32,1,0,1
"13767.58cfa833e4b0c9d6adf6db77",4,0,0,0
"13767.58cfa833e4b0c9d6adf6db98",117,1,0,5
"13767.58cfa833e4b0c9d6adf6db87",31,0,0,2
"13767.58cfa833e4b0c9d6adf6dd5d",9,1,0,1
"13767.58cfa834e4b0c9d6adf6e848",19,0,0,1
"13767.58cfa833e4b0c9d6adf6dd64",89,1,0,5
"13767.58cfa833e4b0c9d6adf6dd80",0,1,0,0
"13767.58cfa838e4b0c9d6adf70670",33,1,0,1
"13767.58cfa833e4b0c9d6adf6dba9",35,2,0,1
"13767.58cfa833e4b0c9d6adf6da39",164,1,0,10
"13767.58cfa838e4b0c9d6adf7052b",16,1,0,1
"13767.58cfa833e4b0c9d6adf6db3c",41,0,0,2
"13767.58cfa833e4b0c9d6adf6dd7a",1,0,0,0
"13767.58cfa837e4b0c9d6adf70034",29,0,0,1
"13767.58cfa833e4b0c9d6adf6db96",16,0,0,2
"13767.58cfa838e4b0c9d6adf705c6",28,0,0,1
"13767.58cfa838e4b0c9d6adf70b56",3,1,0,0
"13767.58cfa833e4b0c9d6adf6dea8",32,0,0,1
"13767.58cfa833e4b0c9d6adf6db20",35,0,0,3
"13767.58cfa833e4b0c9d6adf6dd3c",5,0,0,0
"13767.58cfa838e4b0c9d6adf70612",4,1,0,0
"13767.58cfa838e4b0c9d6adf70dd6",0,2,0,0
"13767.58cfa83be4b0c9d6adf7267a",10,1,0,1
"13767.58cfa837e4b0c9d6adf702c6",35,1,0,2
"13767.58cfa838e4b0c9d6adf704ac",18,0,0,1
"13767.58cfa838e4b0c9d6adf70c56",1,1,0,2
"13767.58cfa838e4b0c9d6adf704bb",36,0,0,1
"13767.58cfa837e4b0c9d6adf703d2",11,0,0,0
"13767.58cfa834e4b0c9d6adf6e876",6,1,0,0
"13767.58cfa838e4b0c9d6adf70573",119,1,0,6
"13767.58cfa837e4b0c9d6adf7028e",36,0,0,1
"13767.58cfa838e4b0c9d6adf70435",52,1,0,2
"13767.58cfa833e4b0c9d6adf6dd0e",18,2,0,0
"13767.58cfa837e4b0c9d6adf702a8",10,0,0,1
"13767.58cfa835e4b0c9d6adf6ef22",14,1,0,0
"13767.58cfa833e4b0c9d6adf6dc24",2,0,0,0
"13767.58cfa834e4b0c9d6adf6e604",1,3,0,0
"13767.58cfa838e4b0c9d6adf706f8",10,1,0,0
"13767.58cfa833e4b0c9d6adf6d9e7",10,0,0,0
"13767.58cfa838e4b0c9d6adf7058f",318,3,0,13
"13767.58cfa83be4b0c9d6adf725cc",1,3,0,0
"13767.58cfa833e4b0c9d6adf6d998",15,0,0,2
"13767.58cfa83be4b0c9d6adf72311",0,1,0,0
"13767.58cfa838e4b0c9d6adf70458",203,2,0,11
"13767.58cfa834e4b0c9d6adf6e4c9",8,1,0,0
"13767.58cfa838e4b0c9d6adf70810",14,0,0,1
"13767.58cfa834e4b0c9d6adf6e78a",11,0,0,0
"13767.58cfa838e4b0c9d6adf7077e",9,1,0,1
"13767.58cfa833e4b0c9d6adf6db1a",2,0,0,0
"13767.58cfa83be4b0c9d6adf7257a",5,0,0,1
"13767.58cfa838e4b0c9d6adf70433",46,2,0,2
"13767.58cfa833e4b0c9d6adf6d882",322,1,0,8
"13767.58cfa838e4b0c9d6adf70986",4,2,0,1
"13767.58cfa838e4b0c9d6adf705bb",20,0,0,0
"13767.58cfa83be4b0c9d6adf72566",13,0,0,1
"13767.58cfa833e4b0c9d6adf6d9f0",4,0,0,0
"13767.58cfa833e4b0c9d6adf6dc32",70,0,0,2
"13767.58cfa838e4b0c9d6adf704f3",23,1,0,2
"13767.58cfa833e4b0c9d6adf6d971",13,0,0,0
"13767.58cfa838e4b0c9d6adf7060a",472,4,0,23
"13767.58cfa838e4b0c9d6adf70c5a",1,1,0,0
"13767.58cfa835e4b0c9d6adf6ef50",18,0,0,1
"13767.58cfa838e4b0c9d6adf70558",180,1,0,11
"13767.58cfa834e4b0c9d6adf6e4d4",33,2,0,1
"13767.58cfa838e4b0c9d6adf7040c",145,2,0,5
"13767.58cfa833e4b0c9d6adf6dbca",31,0,0,1
"13767.58cfa838e4b0c9d6adf709f4",10,1,0,0
"13767.58cfa838e4b0c9d6adf70516",27,0,0,0
"13767.58cfa838e4b0c9d6adf70606",162,1,0,6
"13767.58cfa833e4b0c9d6adf6dced",98,2,0,4
"13767.58cfa833e4b0c9d6adf6d944",10,0,0,0
"13767.58cfa833e4b0c9d6adf6db26",7,1,0,0
"13767.58cfa833e4b0c9d6adf6dd2e",2,0,0,0
"13767.58cfa833e4b0c9d6adf6d9a9",25,0,0,0
"13767.58cfa833e4b0c9d6adf6dbf9",6,0,0,0
"13767.58cfa838e4b0c9d6adf706fe",27,0,0,2
"13767.58cfa838e4b0c9d6adf7095d",24,2,0,1
"13767.58cfa838e4b0c9d6adf704a3",33,1,0,1
"13767.58cfa83be4b0c9d6adf71f76",0,2,0,0
"13767.58cfa838e4b0c9d6adf70a16",7,1,0,2
"13767.58cfa838e4b0c9d6adf70610",141,2,0,5
"13767.58cfa838e4b0c9d6adf70db8",4,0,0,0
"13767.58cfa833e4b0c9d6adf6da92",3,0,0,1
"13767.58cfa834e4b0c9d6adf6e3fe",3,1,0,0
"13767.58cfa83be4b0c9d6adf72945",1,0,0,0
"13767.58cfa838e4b0c9d6adf709c0",3,1,0,0
"13767.58cfa833e4b0c9d6adf6dae0",25,0,0,1
"13767.58cfa839e4b0c9d6adf7105c",2,1,0,0
"13767.58cfa837e4b0c9d6adf7038c",19,0,0,1
"13767.58cfa838e4b0c9d6adf7056d",47,1,0,3
"13767.58cfa834e4b0c9d6adf6e5bd",297,3,0,14
"13767.58cfa838e4b0c9d6adf704b9",44,2,0,2
"13767.58cfa838e4b0c9d6adf709f2",9,3,0,0
"13767.58cfa834e4b0c9d6adf6e6ca",226,2,0,8
"13767.58cfa838e4b0c9d6adf704ca",395,6,0,14
"13767.58cfa834e4b0c9d6adf6e5a2",3,0,0,0
"13767.58cfa838e4b0c9d6adf70ca4",3,0,0,0
"13767.58cfa835e4b0c9d6adf6ebca",4,0,0,1
"13767.58cfa838e4b0c9d6adf70a55",32,0,0,1
"13767.58cfa838e4b0c9d6adf70c94",58,0,0,2
