"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa838e4b0c9d6adf7055c",21,0,0,1
"13767.58cfa838e4b0c9d6adf70b5c",2,1,0,0
"13767.58cfa838e4b0c9d6adf70510",1,0,0,0
"13767.58cfa838e4b0c9d6adf70546",25,2,0,1
"13767.58cfa832e4b0c9d6adf6d812",1,0,0,0
"13767.58cfa838e4b0c9d6adf705d4",17,0,0,1
"13767.58cfa838e4b0c9d6adf70e34",7,0,0,0
"13767.58cfa838e4b0c9d6adf709e2",5,0,0,0
"13767.58cfa838e4b0c9d6adf705b7",43,0,0,2
"13767.58cfa838e4b0c9d6adf70620",29,2,0,1
"13767.58cfa838e4b0c9d6adf705f8",36,1,0,1
"13767.58cfa838e4b0c9d6adf70554",25,0,0,1
"13767.58cfa837e4b0c9d6adf7035c",23,0,0,0
"13767.58cfa838e4b0c9d6adf70659",8,0,0,1
"13767.58cfa832e4b0c9d6adf6d71d",5,1,0,0
"13767.58cfa838e4b0c9d6adf7042d",46,1,0,2
"13767.58cfa838e4b0c9d6adf705e6",172,0,0,6
"13767.58cfa838e4b0c9d6adf705fe",18,2,0,1
"13767.58cfa837e4b0c9d6adf7039b",53,1,0,2
"13767.58cfa838e4b0c9d6adf70455",124,3,0,4
"13767.58cfa837e4b0c9d6adf70360",32,0,0,1
"13767.58cfa838e4b0c9d6adf70a3b",30,0,0,1
"13767.58cfa838e4b0c9d6adf7045d",41,0,0,2
"13767.58cfa838e4b0c9d6adf705ea",32,0,0,1
"13767.58cfa838e4b0c9d6adf70604",11,0,0,1
"13767.58cfa838e4b0c9d6adf70594",26,1,0,1
"13767.58cfa838e4b0c9d6adf7040a",58,2,0,3
"13767.58cfa837e4b0c9d6adf7039e",51,1,0,1
"13767.58cfa838e4b0c9d6adf709e8",12,0,0,0
"13767.58cfa837e4b0c9d6adf7038e",27,0,0,1
"13767.58cfa837e4b0c9d6adf702a6",22,3,0,1
"13767.58cfa838e4b0c9d6adf7054f",11,1,0,0
"13767.58cfa838e4b0c9d6adf708ea",5,1,0,0
"13767.58cfa832e4b0c9d6adf6d6c6",1,0,0,0
"13767.58cfa838e4b0c9d6adf70bc8",28,1,0,2
"13767.58cfa838e4b0c9d6adf704a6",29,0,0,0
"13767.58cfa832e4b0c9d6adf6d7bc",2,0,0,0
"13767.58cfa832e4b0c9d6adf6d757",6,1,0,0
"13767.58cfa838e4b0c9d6adf70608",56,0,0,2
"13767.58cfa837e4b0c9d6adf70388",12,1,0,1
"13767.58cfa832e4b0c9d6adf6d796",7,0,0,0
"13767.58cfa838e4b0c9d6adf70506",26,0,0,1
"13767.58cfa838e4b0c9d6adf70479",25,1,0,1
"13767.58cfa833e4b0c9d6adf6da19",51,1,0,1
"13767.58cfa838e4b0c9d6adf70445",60,0,0,3
"13767.58cfa832e4b0c9d6adf6d82e",16,0,0,1
"13767.58cfa832e4b0c9d6adf6d701",3,1,0,0
"13767.58cfa838e4b0c9d6adf709e4",5,0,0,0
"13767.58cfa838e4b0c9d6adf709ba",9,1,0,1
"13767.58cfa837e4b0c9d6adf703d5",24,0,0,0
"13767.58cfa838e4b0c9d6adf705ee",16,1,0,1
"13767.58cfa838e4b0c9d6adf705f0",46,1,0,1
"13767.58cfa83be4b0c9d6adf71fa8",1,0,0,0
"13767.58cfa838e4b0c9d6adf70d85",22,1,0,1
"13767.58cfa832e4b0c9d6adf6d7c9",9,0,0,1
"13767.58cfa833e4b0c9d6adf6d917",3,0,0,0
"13767.58cfa838e4b0c9d6adf70706",3,0,0,0
"13767.58cfa838e4b0c9d6adf70518",31,1,0,1
"13767.58cfa838e4b0c9d6adf70dba",23,1,0,1
"13767.58cfa838e4b0c9d6adf7043d",51,0,0,2
"13767.58cfa838e4b0c9d6adf705c2",19,0,0,1
"13767.58cfa838e4b0c9d6adf70540",15,1,0,1
"13767.58cfa838e4b0c9d6adf704f8",36,1,0,2
"13767.58cfa838e4b0c9d6adf704f7",90,1,0,4
"13767.58cfa838e4b0c9d6adf70f51",2,0,0,0
"13767.58cfa832e4b0c9d6adf6d72e",5,0,0,0
"13767.58cfa838e4b0c9d6adf706da",54,0,0,2
"13767.58cfa838e4b0c9d6adf705be",24,1,0,1
"13767.58cfa838e4b0c9d6adf70626",89,1,0,3
"13767.58cfa838e4b0c9d6adf70471",39,1,0,2
"13767.58cfa832e4b0c9d6adf6d736",2,0,0,0
"13767.58cfa838e4b0c9d6adf7060e",12,1,0,2
"13767.58cfa832e4b0c9d6adf6d79e",1,0,0,0
"13767.58cfa838e4b0c9d6adf70496",68,0,0,2
"13767.58cfa833e4b0c9d6adf6d86e",5,0,0,0
"13767.58cfa838e4b0c9d6adf7047f",25,0,0,1
"13767.58cfa832e4b0c9d6adf6d7ba",2,0,0,0
"13767.58cfa835e4b0c9d6adf6eda0",64,3,0,2
"13767.58cfa838e4b0c9d6adf707f6",113,1,0,3
"13767.58cfa833e4b0c9d6adf6d96b",1,0,0,0
"13767.58cfa838e4b0c9d6adf709e6",42,1,0,1
"13767.58cfa838e4b0c9d6adf70412",49,1,0,1
"13767.58cfa832e4b0c9d6adf6d728",11,0,0,1
"13767.58cfa838e4b0c9d6adf709b8",0,1,0,0
"13767.58cfa837e4b0c9d6adf702aa",25,2,0,1
"13767.58cfa837e4b0c9d6adf703c0",15,1,0,0
"13767.58cfa832e4b0c9d6adf6d6ff",5,0,0,0
"13767.58cfa838e4b0c9d6adf70bbe",37,1,0,1
"13767.58cfa837e4b0c9d6adf702da",32,0,0,1
"13767.58cfa832e4b0c9d6adf6d705",4,0,0,0
"13767.58cfa838e4b0c9d6adf70975",16,0,0,1
"13767.58cfa838e4b0c9d6adf70700",23,1,0,0
"13767.58cfa838e4b0c9d6adf70528",25,1,0,1
"13767.58cfa832e4b0c9d6adf6d834",15,0,0,1
"13767.58cfa833e4b0c9d6adf6d90d",5,0,0,0
"13767.58cfa838e4b0c9d6adf70be8",3,2,0,0
"13767.58cfa838e4b0c9d6adf70b4c",2,0,0,0
"13767.58cfa838e4b0c9d6adf70990",6,2,0,1
"13767.58cfa832e4b0c9d6adf6d7e0",2,0,0,0
"13767.58cfa833e4b0c9d6adf6d8e4",4,0,0,0
"13767.58cfa832e4b0c9d6adf6d7b4",6,1,0,0
"13767.58cfa838e4b0c9d6adf7054e",38,1,0,2
"13767.58cfa832e4b0c9d6adf6d7c4",7,0,0,0
"13767.58cfa832e4b0c9d6adf6d769",1,2,0,0
"13767.58cfa838e4b0c9d6adf70728",51,1,0,2
"13767.58cfa838e4b0c9d6adf70bdd",7,1,0,0
"13767.58cfa838e4b0c9d6adf709f0",0,1,0,0
"13767.58cfa83be4b0c9d6adf7208c",0,1,0,0
"13767.58cfa832e4b0c9d6adf6d6f5",44,0,0,2
"13767.58cfa838e4b0c9d6adf70dee",12,2,0,0
"13767.58cfa833e4b0c9d6adf6d915",1,0,0,0
"13767.58cfa833e4b0c9d6adf6d8f0",4,0,0,0
"13767.58cfa838e4b0c9d6adf7050b",44,0,0,1
"13767.58cfa838e4b0c9d6adf706a0",65,0,0,3
"13767.58cfa838e4b0c9d6adf70566",37,1,0,2
"13767.58cfa838e4b0c9d6adf70527",109,1,0,4
"13767.58cfa838e4b0c9d6adf70662",14,0,0,1
"13767.58cfa838e4b0c9d6adf70dbb",14,0,0,1
"13767.58cfa833e4b0c9d6adf6d8fd",4,0,0,0
"13767.58cfa838e4b0c9d6adf70dd0",16,2,0,0
"13767.58cfa833e4b0c9d6adf6d868",4,0,0,0
"13767.58cfa83ae4b0c9d6adf71e7a",1,0,0,0
"13767.58cfa838e4b0c9d6adf70f8c",0,4,0,0
"13767.58cfa832e4b0c9d6adf6d80a",13,1,0,0
"13767.58cfa832e4b0c9d6adf6d78c",1,0,0,0
"13767.58cfa833e4b0c9d6adf6d879",4,0,0,0
"13767.58cfa833e4b0c9d6adf6d9eb",1,0,0,0
"13767.58cfa833e4b0c9d6adf6d9a5",2,0,0,0
"13767.58cfa833e4b0c9d6adf6d966",2,0,0,1
"13767.58cfa838e4b0c9d6adf70aba",63,3,0,2
"13767.58cfa838e4b0c9d6adf70553",19,1,0,1
"13767.58cfa837e4b0c9d6adf702d0",42,1,0,2
"13767.58cfa83be4b0c9d6adf71f9a",1,3,0,0
"13767.58cfa832e4b0c9d6adf6d746",10,0,0,0
"13767.58cfa833e4b0c9d6adf6d903",2,0,0,0
"13767.58cfa838e4b0c9d6adf70c64",18,1,0,0
"13767.58cfa838e4b0c9d6adf70b36",27,1,0,1
"13767.58cfa837e4b0c9d6adf70187",9,1,0,1
"13767.58cfa838e4b0c9d6adf70c5f",15,1,0,1
"13767.58cfa839e4b0c9d6adf71126",9,1,0,0
"13767.58cfa832e4b0c9d6adf6d6df",2,0,0,0
"13767.58cfa838e4b0c9d6adf7050a",61,1,0,2
"13767.58cfa832e4b0c9d6adf6d73e",14,0,0,1
"13767.58cfa839e4b0c9d6adf711bb",1,2,0,0
"13767.58cfa837e4b0c9d6adf702b4",35,1,0,1
"13767.58cfa832e4b0c9d6adf6d7f0",6,1,0,0
"13767.58cfa838e4b0c9d6adf70904",7,0,0,0
"13767.58cfa832e4b0c9d6adf6d81a",8,0,0,0
"13767.58cfa838e4b0c9d6adf70921",16,1,0,0
"13767.58cfa838e4b0c9d6adf7070e",19,1,0,0
"13767.58cfa833e4b0c9d6adf6d97f",1,0,0,0
"13767.58cfa832e4b0c9d6adf6d6ac",5,1,0,0
"13767.58cfa838e4b0c9d6adf709cc",23,1,0,0
"13767.58cfa838e4b0c9d6adf70740",13,0,0,1
"13767.58cfa835e4b0c9d6adf6ec7e",2,0,0,0
"13767.58cfa832e4b0c9d6adf6d6ed",2,1,0,0
"13767.58cfa838e4b0c9d6adf705fa",39,2,0,2
"13767.58cfa838e4b0c9d6adf70704",28,1,0,1
"13767.58cfa832e4b0c9d6adf6d6b2",11,2,0,0
"13767.58cfa832e4b0c9d6adf6d766",3,0,0,0
"13767.58cfa832e4b0c9d6adf6d7ce",80,1,0,3
"13767.58cfa838e4b0c9d6adf7054a",49,3,0,1
"13767.58cfa838e4b0c9d6adf7043b",46,0,0,2
"13767.58cfa833e4b0c9d6adf6da2d",7,0,0,0
"13767.58cfa833e4b0c9d6adf6d87b",3,0,0,0
"13767.58cfa837e4b0c9d6adf702d2",37,1,0,1
"13767.58cfa838e4b0c9d6adf70de6",6,2,0,0
"13767.58cfa837e4b0c9d6adf702cc",50,1,0,1
"13767.58cfa832e4b0c9d6adf6d802",4,0,0,0
"13767.58cfa838e4b0c9d6adf70622",50,1,0,1
"13767.58cfa832e4b0c9d6adf6d6f3",12,0,0,0
"13767.58cfa838e4b0c9d6adf70b22",4,1,0,0
"13767.58cfa832e4b0c9d6adf6d81e",10,0,0,0
"13767.58cfa837e4b0c9d6adf703ca",26,0,0,1
"13767.58cfa838e4b0c9d6adf7066a",67,1,0,2
"13767.58cfa832e4b0c9d6adf6d6b8",20,0,0,2
"13767.58cfa838e4b0c9d6adf70913",10,0,0,0
"13767.58cfa832e4b0c9d6adf6d75b",20,1,0,1
"13767.58cfa838e4b0c9d6adf70c7f",16,1,0,1
"13767.58cfa832e4b0c9d6adf6d7e6",18,2,0,0
"13767.58cfa832e4b0c9d6adf6d70e",5,2,0,0
"13767.58cfa832e4b0c9d6adf6d7a2",31,0,0,1
"13767.58cfa833e4b0c9d6adf6d8ef",36,0,0,1
"13767.58cfa838e4b0c9d6adf70534",16,3,0,1
"13767.58cfa832e4b0c9d6adf6d6e9",7,2,0,0
"13767.58cfa838e4b0c9d6adf70545",63,2,0,3
"13767.58cfa838e4b0c9d6adf70954",12,1,0,0
"13767.58cfa838e4b0c9d6adf70602",28,1,0,1
"13767.58cfa833e4b0c9d6adf6da58",2,0,0,1
"13767.58cfa833e4b0c9d6adf6da14",2,0,0,0
"13767.58cfa838e4b0c9d6adf70fd8",14,1,0,1
"13767.58cfa832e4b0c9d6adf6d838",68,1,0,2
"13767.58cfa832e4b0c9d6adf6d832",21,0,0,1
"13767.58cfa832e4b0c9d6adf6d77b",6,2,0,0
"13767.58cfa837e4b0c9d6adf703e4",76,1,0,3
"13767.58cfa832e4b0c9d6adf6d7fb",7,1,0,0
"13767.58cfa837e4b0c9d6adf702ac",29,1,0,1
"13767.58cfa833e4b0c9d6adf6ddf8",18,31,0,2
"13767.58cfa838e4b0c9d6adf70a44",19,0,0,0
