"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa83be4b0c9d6adf724d2",1,0,0,0
"13767.58cfa838e4b0c9d6adf70d3e",227,6,0,7
"13767.58cfa834e4b0c9d6adf6e6b2",85,0,0,3
"13767.58cfa834e4b0c9d6adf6e964",83,0,0,3
"13767.58cfa834e4b0c9d6adf6e64c",31,0,0,1
"13767.58cfa837e4b0c9d6adf6fe46",32,0,0,1
"13767.58cfa83be4b0c9d6adf724c5",1,0,0,0
"13767.58cfa83be4b0c9d6adf724b6",1,0,0,0
"13767.58cfa83be4b0c9d6adf724b2",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e66a",25,1,0,1
"13767.58cfa834e4b0c9d6adf6e6e8",59,3,0,1
"13767.58cfa83be4b0c9d6adf72351",0,1,0,0
"13767.58cfa83be4b0c9d6adf724da",1,2,0,0
"13767.58cfa83be4b0c9d6adf724f4",2,0,0,0
"13767.58cfa837e4b0c9d6adf6fe84",49,0,0,1
"13767.58cfa834e4b0c9d6adf6e81e",8,0,0,0
"13767.58cfa838e4b0c9d6adf706d8",223,2,0,7
"13767.58cfa83be4b0c9d6adf72200",1,0,0,0
"13767.58cfa832e4b0c9d6adf6d7ee",18,1,0,1
"13767.58cfa834e4b0c9d6adf6e6ea",90,2,0,2
"13767.58cfa83be4b0c9d6adf7231c",2,0,0,0
"13767.58cfa83ae4b0c9d6adf71bb3",0,1,0,0
"13767.58cfa83be4b0c9d6adf721c5",2,0,0,0
"13767.58cfa83be4b0c9d6adf724c0",1,1,0,0
"13767.58cfa834e4b0c9d6adf6e735",64,1,0,1
"13767.58cfa835e4b0c9d6adf6eba0",11,0,0,0
"13767.58cfa83ae4b0c9d6adf717ad",1,1,0,0
"13767.58cfa83ae4b0c9d6adf7178c",2,0,0,0
"13767.58cfa83be4b0c9d6adf723e2",0,1,0,0
"13767.58cfa83ae4b0c9d6adf7170c",1,0,0,0
"13767.58cfa838e4b0c9d6adf7062a",79,1,0,2
"13767.58cfa834e4b0c9d6adf6e575",50,2,0,2
"13767.58cfa83be4b0c9d6adf7242a",1,0,0,0
"13767.58cfa838e4b0c9d6adf70674",27,0,0,0
"13767.58cfa834e4b0c9d6adf6e539",24,1,0,1
"13767.58cfa834e4b0c9d6adf6e546",66,0,0,2
"13767.58cfa838e4b0c9d6adf70735",22,2,0,2
"13767.58cfa838e4b0c9d6adf70684",40,3,0,2
"13767.58cfa838e4b0c9d6adf706f6",70,1,0,3
"13767.58cfa838e4b0c9d6adf70745",55,0,0,2
"13767.58cfa83ae4b0c9d6adf718d2",0,1,0,0
"13767.58cfa839e4b0c9d6adf711a8",31,2,0,1
"13767.58cfa83be4b0c9d6adf721d1",0,1,0,0
"13767.58cfa834e4b0c9d6adf6e6ec",44,1,0,1
"13767.58cfa83ae4b0c9d6adf7191c",0,2,0,0
"13767.58cfa838e4b0c9d6adf7069a",74,1,0,3
"13767.58cfa837e4b0c9d6adf702e4",107,1,0,5
"13767.58cfa83be4b0c9d6adf7277c",32,0,0,1
"13767.58cfa83ae4b0c9d6adf717a4",1,2,0,0
"13767.58cfa83ae4b0c9d6adf71bca",1,0,0,0
"13767.58cfa838e4b0c9d6adf706dc",387,1,0,14
"13767.58cfa83be4b0c9d6adf72404",1,2,0,0
"13767.58cfa835e4b0c9d6adf6eaac",3,1,0,0
"13767.58cfa834e4b0c9d6adf6e7f8",31,0,0,1
"13767.58cfa83be4b0c9d6adf72907",2,0,0,0
"13767.58cfa838e4b0c9d6adf70698",28,0,0,1
"13767.58cfa83be4b0c9d6adf727d0",4,0,0,0
"13767.58cfa83ae4b0c9d6adf718b4",2,1,0,0
"13767.58cfa83be4b0c9d6adf7260a",14,0,0,1
"13767.58cfa83ae4b0c9d6adf71761",9,2,0,0
"13767.58cfa83ae4b0c9d6adf71b0a",0,1,0,0
"13767.58cfa839e4b0c9d6adf712ec",19,0,0,1
"13767.58cfa834e4b0c9d6adf6e832",253,1,0,9
"13767.58cfa83be4b0c9d6adf723ca",0,1,0,0
"13767.58cfa834e4b0c9d6adf6e3f6",30,0,0,2
"13767.58cfa83ae4b0c9d6adf716e7",1,0,0,0
"13767.58cfa83be4b0c9d6adf723da",0,2,0,0
"13767.58cfa83ae4b0c9d6adf717f2",2,0,0,0
"13767.58cfa83ae4b0c9d6adf71790",2,1,0,0
"13767.58cfa835e4b0c9d6adf6ebe6",72,2,0,1
"13767.58cfa83be4b0c9d6adf7269d",0,1,0,0
"13767.58cfa838e4b0c9d6adf70e96",62,3,0,2
"13767.58cfa83be4b0c9d6adf727a5",3,0,0,0
"13767.58cfa83ae4b0c9d6adf71bf5",0,1,0,0
"13767.58cfa83ae4b0c9d6adf718da",0,1,0,0
"13767.58cfa83ae4b0c9d6adf71c68",2,0,0,0
"13767.58cfa83ae4b0c9d6adf716a4",0,1,0,0
"13767.58cfa835e4b0c9d6adf6ee5e",3,0,0,0
"13767.58cfa83be4b0c9d6adf723d2",0,1,0,0
"13767.58cfa835e4b0c9d6adf6ec95",6,1,0,0
"13767.58cfa839e4b0c9d6adf71214",1,1,0,0
"13767.58cfa838e4b0c9d6adf70908",29,1,0,1
"13767.58cfa838e4b0c9d6adf7076f",52,3,0,1
"13767.58cfa834e4b0c9d6adf6e822",36,1,0,2
"13767.58cfa83ae4b0c9d6adf7190e",5,0,0,0
"13767.58cfa83ae4b0c9d6adf71aa5",0,2,0,0
"13767.58cfa83ae4b0c9d6adf71b91",0,1,0,0
"13767.58cfa83ae4b0c9d6adf71ba5",1,0,0,0
"13767.58cfa83ae4b0c9d6adf718e0",3,2,0,0
"13767.58cfa835e4b0c9d6adf6f2ec",24,0,0,1
"13767.58cfa83be4b0c9d6adf7278a",0,1,0,0
"13767.58cfa83ae4b0c9d6adf717e4",9,0,0,0
"13767.58cfa83ae4b0c9d6adf717e7",1,1,0,0
"13767.58cfa838e4b0c9d6adf70712",23,0,0,1
"13767.58cfa83ae4b0c9d6adf71c0c",2,1,0,0
"13767.58cfa83ae4b0c9d6adf716ee",4,1,0,0
"13767.58cfa83be4b0c9d6adf723d4",1,0,0,0
"13767.58cfa83ae4b0c9d6adf71a96",1,0,0,0
"13767.58cfa83ae4b0c9d6adf716df",6,0,0,0
"13767.58cfa83ae4b0c9d6adf715ea",1,0,0,0
"13767.58cfa838e4b0c9d6adf70d70",404,3,0,15
"13767.58cfa83ae4b0c9d6adf718d4",0,1,0,0
"13767.58cfa836e4b0c9d6adf6f3b6",28,0,0,0
"13767.58cfa835e4b0c9d6adf6ebda",12,1,0,1
"13767.58cfa838e4b0c9d6adf7059e",1255,9,0,46
"13767.58cfa83ae4b0c9d6adf716ff",7,1,0,0
"13767.58cfa83ae4b0c9d6adf718ca",1,0,0,0
"13767.58cfa83ae4b0c9d6adf7180f",2,0,0,0
"13767.58cfa83ae4b0c9d6adf71721",0,2,0,0
"13767.58cfa83ae4b0c9d6adf71ae8",0,1,0,0
"13767.58cfa835e4b0c9d6adf6eb16",99,2,0,2
"13767.58cfa83ae4b0c9d6adf71aec",0,1,0,0
"13767.58cfa83ae4b0c9d6adf71a9e",0,2,0,0
"13767.58cfa83be4b0c9d6adf725b4",1,2,0,0
"13767.58cfa83be4b0c9d6adf724b8",5,1,0,0
"13767.58cfa838e4b0c9d6adf70e08",6,0,0,0
"13767.58cfa835e4b0c9d6adf6ec7c",16,1,0,1
"13767.58cfa837e4b0c9d6adf700b8",31,1,0,1
"13767.58cfa83ae4b0c9d6adf71799",4,0,0,0
"13767.58cfa838e4b0c9d6adf70f80",4,0,0,0
"13767.58cfa838e4b0c9d6adf70e3f",7,2,0,0
"13767.58cfa835e4b0c9d6adf6ebc7",3,1,0,0
"13767.58cfa83ae4b0c9d6adf71657",5,1,0,0
"13767.58cfa83ae4b0c9d6adf71de2",0,2,0,0
"13767.58cfa839e4b0c9d6adf710fe",2,0,0,1
"13767.58cfa834e4b0c9d6adf6e9c4",18,0,0,1
"13767.58cfa839e4b0c9d6adf70ffe",110,4,0,3
"13767.58cfa838e4b0c9d6adf70ebc",75,5,0,3
"13767.58cfa83ae4b0c9d6adf71ba0",2,1,0,0
"13767.58cfa83be4b0c9d6adf7230d",6,1,0,0
"13767.58cfa839e4b0c9d6adf71592",1,0,0,0
"13767.58cfa838e4b0c9d6adf70bd8",6,1,0,1
"13767.58cfa834e4b0c9d6adf6e970",88,1,0,3
"13767.58cfa835e4b0c9d6adf6f2b4",44,1,0,1
"13767.58cfa83ae4b0c9d6adf71a4c",0,1,0,0
"13767.58cfa83be4b0c9d6adf72428",1,0,0,0
"13767.58cfa838e4b0c9d6adf70cde",21,2,0,1
"13767.58cfa83ae4b0c9d6adf718ac",11,1,0,0
"13767.58cfa83ae4b0c9d6adf71a7a",2,1,0,0
"13767.58cfa83ae4b0c9d6adf71ad8",0,1,0,0
"13767.58cfa838e4b0c9d6adf70d06",7,0,0,0
"13767.58cfa835e4b0c9d6adf6eccf",17,1,0,1
"13767.58cfa835e4b0c9d6adf6f2ca",39,0,0,1
"13767.58cfa838e4b0c9d6adf70f9a",78,1,0,3
"13767.58cfa83ae4b0c9d6adf7177f",13,1,0,0
