"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa838e4b0c9d6adf704ff",109,2,0,3
"13767.58cfa834e4b0c9d6adf6e42b",3,0,0,0
"13767.58cfa837e4b0c9d6adf703ac",6,0,0,0
"13767.58cfa836e4b0c9d6adf6fb16",6,0,0,0
"13767.58cfa834e4b0c9d6adf6e66d",4,1,0,0
"13767.58cfa837e4b0c9d6adf70364",83,1,0,3
"13767.58cfa834e4b0c9d6adf6e698",7,0,0,3
"13767.58cfa834e4b0c9d6adf6e9d7",2,1,0,0
"13767.58cfa83ae4b0c9d6adf71cd0",3,2,0,0
"13767.58cfa836e4b0c9d6adf6fba0",318,3,0,12
"13767.58cfa834e4b0c9d6adf6e768",8,0,0,0
"13767.58cfa834e4b0c9d6adf6e820",5,3,0,0
"13767.58cfa834e4b0c9d6adf6e582",3,0,0,0
"13767.58cfa837e4b0c9d6adf703fe",737,5,0,37
"13767.58cfa834e4b0c9d6adf6e9db",25,0,0,1
"13767.58cfa83ae4b0c9d6adf71cca",1,1,0,0
"13767.58cfa834e4b0c9d6adf6e784",1,1,0,0
"13767.58cfa836e4b0c9d6adf6fb89",1056,7,0,39
"13767.58cfa837e4b0c9d6adf700ce",182,4,0,6
"13767.58cfa83ae4b0c9d6adf71c63",4,1,0,0
"13767.58cfa836e4b0c9d6adf6fbc2",309,1,0,11
"13767.58cfa836e4b0c9d6adf6f975",19,0,0,1
"13767.58cfa834e4b0c9d6adf6e81c",3,0,0,0
"13767.58cfa837e4b0c9d6adf703c4",25,0,0,2
"13767.58cfa834e4b0c9d6adf6e9ad",3,2,0,0
"13767.58cfa835e4b0c9d6adf6ef8f",34,1,0,1
"13767.58cfa837e4b0c9d6adf70260",205,2,0,6
"13767.58cfa835e4b0c9d6adf6ea4b",8,0,0,0
"13767.58cfa837e4b0c9d6adf7037e",165,1,0,7
"13767.58cfa835e4b0c9d6adf6ebc0",4,0,0,0
"13767.58cfa837e4b0c9d6adf702a2",117,2,0,3
"13767.58cfa838e4b0c9d6adf70488",40,2,0,1
"13767.58cfa838e4b0c9d6adf70b1a",99,0,0,3
"13767.58cfa836e4b0c9d6adf6fb04",2780,39,0,138
"13767.58cfa834e4b0c9d6adf6e7fe",4,0,0,0
"13767.58cfa834e4b0c9d6adf6e97a",1,0,0,1
"13767.58cfa836e4b0c9d6adf6f8fb",101,1,0,3
"13767.58cfa836e4b0c9d6adf6f9dc",8,3,0,1
"13767.58cfa83be4b0c9d6adf71f48",1,0,0,0
"13767.58cfa837e4b0c9d6adf703ba",139,4,0,5
"13767.58cfa835e4b0c9d6adf6ed86",7,1,0,0
"13767.58cfa835e4b0c9d6adf6eb98",26,2,0,1
"13767.58cfa836e4b0c9d6adf6fb42",552,3,0,23
"13767.58cfa834e4b0c9d6adf6e6fe",6,0,0,0
"13767.58cfa836e4b0c9d6adf6f968",69,1,0,4
"13767.58cfa83be4b0c9d6adf71f68",0,1,0,0
"13767.58cfa834e4b0c9d6adf6e986",4,0,0,0
"13767.58cfa836e4b0c9d6adf6faa2",144,2,0,4
"13767.58cfa838e4b0c9d6adf7061e",43,1,0,1
"13767.58cfa836e4b0c9d6adf6f9bd",53,0,0,1
"13767.58cfa839e4b0c9d6adf71072",0,1,0,0
"13767.58cfa834e4b0c9d6adf6e95e",0,2,0,0
"13767.58cfa836e4b0c9d6adf6f982",178,1,0,6
"13767.58cfa838e4b0c9d6adf70a5b",9,0,0,1
"13767.58cfa837e4b0c9d6adf703b4",29,1,0,1
"13767.58cfa838e4b0c9d6adf704c3",32,0,0,1
"13767.58cfa834e4b0c9d6adf6ea32",24,2,0,1
"13767.58cfa837e4b0c9d6adf7033b",133,3,0,9
"13767.58cfa837e4b0c9d6adf6fcd6",128,2,0,4
"13767.58cfa838e4b0c9d6adf70429",78,3,0,2
"13767.58cfa834e4b0c9d6adf6e9d3",3,1,0,0
"13767.58cfa835e4b0c9d6adf6ebbe",16,3,0,1
"13767.58cfa836e4b0c9d6adf6fa30",91,0,0,6
"13767.58cfa839e4b0c9d6adf713d6",7,0,0,0
"13767.58cfa836e4b0c9d6adf6fa3b",164,2,0,8
"13767.58cfa837e4b0c9d6adf7022c",30,1,0,4
"13767.58cfa837e4b0c9d6adf703f8",34,1,0,1
"13767.58cfa835e4b0c9d6adf6f10d",5,2,0,1
"13767.58cfa836e4b0c9d6adf6fc02",23,0,0,2
