"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa838e4b0c9d6adf70de7",11,0,0,1
"13767.58cfa83be4b0c9d6adf722c0",6,1,0,0
"13767.58cfa838e4b0c9d6adf709f6",6,0,0,0
"13767.58cfa83be4b0c9d6adf7275c",0,1,0,0
"13767.58cfa83ae4b0c9d6adf71743",81,1,0,3
"13767.58cfa838e4b0c9d6adf70628",35,1,0,2
"13767.58cfa838e4b0c9d6adf70da2",48,16,0,1
"13767.58cfa838e4b0c9d6adf70685",8,1,0,0
"13767.58cfa838e4b0c9d6adf70618",9,0,0,1
"13767.58cfa838e4b0c9d6adf7068d",110,2,0,4
"13767.58cfa838e4b0c9d6adf70e68",227,8,0,7
"13767.58cfa838e4b0c9d6adf70638",20,0,0,1
"13767.58cfa838e4b0c9d6adf7052f",108,0,0,4
"13767.58cfa838e4b0c9d6adf70b0d",14,0,0,0
"13767.58cfa838e4b0c9d6adf7065c",64,0,0,1
"13767.58cfa838e4b0c9d6adf7067c",26,0,0,2
"13767.58cfa838e4b0c9d6adf7061a",254,0,0,7
"13767.58cfa838e4b0c9d6adf70634",38,0,0,1
"13767.58cfa838e4b0c9d6adf7069e",40,0,0,2
"13767.58cfa838e4b0c9d6adf709fe",300,3,0,9
"13767.58cfa83be4b0c9d6adf7258b",40,2,0,2
"13767.58cfa838e4b0c9d6adf705d9",225,2,0,8
"13767.58cfa838e4b0c9d6adf7063a",11,1,0,1
"13767.58cfa838e4b0c9d6adf70b45",23,0,0,1
"13767.58cfa838e4b0c9d6adf705b6",97,0,0,5
"13767.58cfa838e4b0c9d6adf7068a",113,2,0,4
"13767.58cfa83be4b0c9d6adf7258d",4,0,0,0
"13767.58cfa83be4b0c9d6adf72034",1,0,0,0
"13767.58cfa838e4b0c9d6adf706e8",141,1,0,5
"13767.58cfa838e4b0c9d6adf70530",65,1,0,3
"13767.58cfa838e4b0c9d6adf706eb",246,3,0,9
"13767.58cfa838e4b0c9d6adf70644",21,1,0,1
"13767.58cfa838e4b0c9d6adf70a06",69,0,0,3
"13767.58cfa838e4b0c9d6adf70650",29,0,0,1
"13767.58cfa838e4b0c9d6adf709d8",25,1,0,2
"13767.58cfa838e4b0c9d6adf70696",407,4,0,16
"13767.58cfa838e4b0c9d6adf70b16",13,1,0,1
"13767.58cfa838e4b0c9d6adf70614",50,2,0,1
"13767.58cfa838e4b0c9d6adf7098a",8,1,0,1
"13767.58cfa838e4b0c9d6adf70f54",1,1,0,0
"13767.58cfa838e4b0c9d6adf70596",32,2,0,1
"13767.58cfa838e4b0c9d6adf7098c",8,0,0,1
"13767.58cfa838e4b0c9d6adf705a2",77,1,0,2
"13767.58cfa838e4b0c9d6adf70a3e",65,0,0,2
"13767.58cfa838e4b0c9d6adf70642",52,0,0,2
"13767.58cfa838e4b0c9d6adf7096c",51,0,0,3
"13767.58cfa838e4b0c9d6adf7064e",8,0,0,0
"13767.58cfa838e4b0c9d6adf709b4",144,2,0,4
"13767.58cfa838e4b0c9d6adf70f50",95,4,0,3
"13767.58cfa838e4b0c9d6adf70e21",207,4,0,9
"13767.58cfa838e4b0c9d6adf70692",72,1,0,2
"13767.58cfa838e4b0c9d6adf70636",16,2,0,0
"13767.58cfa83be4b0c9d6adf7202c",3,0,0,0
"13767.58cfa838e4b0c9d6adf7068c",13,0,0,1
"13767.58cfa838e4b0c9d6adf70bd7",38,0,0,1
"13767.58cfa839e4b0c9d6adf7102c",1,0,0,0
"13767.58cfa838e4b0c9d6adf70b7e",113,2,0,4
"13767.58cfa838e4b0c9d6adf709ec",33,0,0,1
