Model,auroc,aupr,diseaseType,datasetName
XGBoost,0.888888889,0.883040936,Kidney Chromophobe ,BCM
CatBoost,0.95,0.9,Kidney Chromophobe ,BCM
LightGBM ,0.888888889,0.883040936,Kidney Chromophobe ,BCM
Random Forest ,0.894444444,0.842755036,Kidney Chromophobe ,BCM
 FNatPred,0.9,0.833333333,Kidney Chromophobe ,BCM
XGBoost,0.607142857,0.53015873,Kidney Renal Clear Cell Carcinoma ,BCM
CatBoost,0.526785714,0.480952381,Kidney Renal Clear Cell Carcinoma ,BCM
LightGBM ,0.455357143,0.447619048,Kidney Renal Clear Cell Carcinoma ,BCM
Random Forest ,0.464285714,0.450340136,Kidney Renal Clear Cell Carcinoma ,BCM
 FNatPred,0.5,0.5,Kidney Renal Clear Cell Carcinoma ,BCM
XGBoost,0.854545455,0.7025,Liver Hepatocellular Carcinoma ,BCM
CatBoost,0.854545455,0.7025,Liver Hepatocellular Carcinoma ,BCM
LightGBM ,0.5,0.3125,Liver Hepatocellular Carcinoma ,BCM
Random Forest ,0.7,0.5875,Liver Hepatocellular Carcinoma ,BCM
 FNatPred,1,1,Liver Hepatocellular Carcinoma ,BCM
XGBoost,0.738,0.400359712,Esophageal Carcinoma ,CMS
CatBoost,0.714285714,0.486125385,Esophageal Carcinoma ,CMS
LightGBM ,0.5,0.100719424,Esophageal Carcinoma ,CMS
Random Forest ,0.678571429,0.421891059,Esophageal Carcinoma ,CMS
 FNatPred,0.706349206,0.378571429,Esophageal Carcinoma ,CMS
XGBoost,0.738,0.400359712,Ovarian Serous Cystadenocarcinoma ,CMS
CatBoost,0.714285714,0.486125385,Ovarian Serous Cystadenocarcinoma ,CMS
LightGBM ,0.5,0.100719424,Ovarian Serous Cystadenocarcinoma ,CMS
Random Forest ,0.678571429,0.421891059,Ovarian Serous Cystadenocarcinoma ,CMS
 FNatPred,0.706349206,0.378571429,Ovarian Serous Cystadenocarcinoma ,CMS
XGBoost,0.738,0.400359712,Stomach Adenocarcinoma ,CMS
CatBoost,0.714285714,0.486125385,Stomach Adenocarcinoma ,CMS
LightGBM ,0.5,0.100719424,Stomach Adenocarcinoma ,CMS
Random Forest ,0.678571429,0.421891059,Stomach Adenocarcinoma ,CMS
 FNatPred,0.706349206,0.378571429,Stomach Adenocarcinoma ,CMS
XGBoost,0.507575758,0.317748918,Lung Adenocarcinoma ,HMS
CatBoost,0.5,0.314285714,Lung Adenocarcinoma ,HMS
LightGBM ,0.5,0.314285714,Lung Adenocarcinoma ,HMS
Random Forest ,0.479166667,0.314285714,Lung Adenocarcinoma ,HMS
 FNatPred,0.541666667,0.355555556,Lung Adenocarcinoma ,HMS
XGBoost,0.566666667,0.416666667,Lung Squamous Cell Carcinoma ,Broad_WGS
CatBoost,0.583333333,0.479166667,Lung Squamous Cell Carcinoma ,Broad_WGS
LightGBM ,0.533333333,0.395833333,Lung Squamous Cell Carcinoma ,Broad_WGS
Random Forest ,0.433333333,0.354166667,Lung Squamous Cell Carcinoma ,Broad_WGS
 FNatPred,0.566666667,0.416666667,Lung Squamous Cell Carcinoma ,Broad_WGS
