Model,auroc,aupr,diseaseType,datasetName
XGBoost,0.8888888888888888,0.8830409356725146,Kidney Chromophobe ,BCM
CatBoost,0.9500000000000001,0.9,Kidney Chromophobe ,BCM
LightGBM[1],0.8888888888888888,0.8830409356725146,Kidney Chromophobe ,BCM
Random Forest[2],0.8944444444444444,0.8427550357374919,Kidney Chromophobe ,BCM
Fmodel,0.9,0.8333333333333334,Kidney Chromophobe ,BCM
XGBoost,0.6071428571428572,0.5301587301587302,Kidney Renal Clear Cell Carcinoma ,BCM
CatBoost,0.5267857142857143,0.4809523809523809,Kidney Renal Clear Cell Carcinoma ,BCM
LightGBM[1],0.4553571428571428,0.44761904761904764,Kidney Renal Clear Cell Carcinoma ,BCM
Random Forest[2],0.4642857142857143,0.45034013605442175,Kidney Renal Clear Cell Carcinoma ,BCM
Fmodel,0.5,0.5,Kidney Renal Clear Cell Carcinoma ,BCM
XGBoost,0.8545454545454545,0.7025000000000001,Liver Hepatocellular Carcinoma ,BCM
CatBoost,0.8545454545454545,0.7025000000000001,Liver Hepatocellular Carcinoma ,BCM
LightGBM[1],0.5,0.3125,Liver Hepatocellular Carcinoma ,BCM
Random Forest[2],0.7,0.5875,Liver Hepatocellular Carcinoma ,BCM
Fmodel,1.0,1.0,Liver Hepatocellular Carcinoma ,BCM
