Model,auroc,aupr,diseaseType,datasetName
XGBoost,0.738,0.4003597122302158,Esophageal Carcinoma ,CMS
CatBoost,0.7142857142857143,0.4861253854059609,Esophageal Carcinoma ,CMS
LightGBM[1],0.5,0.10071942446043165,Esophageal Carcinoma ,CMS
Random Forest[2],0.6785714285714286,0.42189105858170606,Esophageal Carcinoma ,CMS
Fmodel,0.7063492063492064,0.37857142857142856,Esophageal Carcinoma ,CMS
XGBoost,0.738,0.4003597122302158,Ovarian Serous Cystadenocarcinoma ,CMS
CatBoost,0.7142857142857143,0.4861253854059609,Ovarian Serous Cystadenocarcinoma ,CMS
LightGBM[1],0.5,0.10071942446043165,Ovarian Serous Cystadenocarcinoma ,CMS
Random Forest[2],0.6785714285714286,0.42189105858170606,Ovarian Serous Cystadenocarcinoma ,CMS
Fmodel,0.7063492063492064,0.37857142857142856,Ovarian Serous Cystadenocarcinoma ,CMS
XGBoost,0.738,0.4003597122302158,Stomach Adenocarcinoma ,CMS
CatBoost,0.7142857142857143,0.4861253854059609,Stomach Adenocarcinoma ,CMS
LightGBM[1],0.5,0.10071942446043165,Stomach Adenocarcinoma ,CMS
Random Forest[2],0.6785714285714286,0.42189105858170606,Stomach Adenocarcinoma ,CMS
Fmodel,0.7063492063492064,0.37857142857142856,Stomach Adenocarcinoma ,CMS
