Model,auroc,aupr,diseaseType,datasetName
XGBoost,0.5075757575757577,0.3177489177489177,Lung Adenocarcinoma ,HMS
CatBoost,0.5,0.3142857142857143,Lung Adenocarcinoma ,HMS
LightGBM[1],0.5,0.3142857142857143,Lung Adenocarcinoma ,HMS
Random Forest[2],0.4791666666666667,0.3142857142857143,Lung Adenocarcinoma ,HMS
Fmodel,0.5416666666666666,0.35555555555555557,Lung Adenocarcinoma ,HMS
XGBoost,0.5803571428571429,0.27557603686635945,Stomach Adenocarcinoma ,HMS
CatBoost,0.5,0.22580645161290322,Stomach Adenocarcinoma ,HMS
LightGBM[1],0.550595238095238,0.26497695852534564,Stomach Adenocarcinoma ,HMS
Random Forest[2],0.5803571428571429,0.27557603686635945,Stomach Adenocarcinoma ,HMS
Fmodel,0.4166666666666667,0.25,Stomach Adenocarcinoma ,HMS
